,shop,category_fre,category_ita,url,attribution,icon_id,product_id,product_short_fre,product_short_ita,product_full_fre,product_full_ita,brand,quantity_fre,quantity_ita,17.05.2022,01.06.2022,15.06.2022,01.07.2022,15.07.2022,31.07.2022,16.08.2022,01.09.2022,15.09.2022,01.10.2022,15.10.2022,01.11.2022,14.11.2022,06.12.2022,16.12.2022
10,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/surgeles/plats-cuisines/plus-de-plats-surgeles/findus-lasagne-bolognaise-surgelee/p/4914489,"<a href=""https://www.flaticon.com/free-icons/lasagna"" title=""lasagna icons"">Lasagna icons created by Icongeek26 - Flaticon</a>",lasagne,lasagne_coop,Lasagne surgelée,Lasagne surgelate,Lasagne bolognaise surgelée,Lasagne bolognesi surgelate,Findus,360g,360g,,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,5.2,5.2,5.2,5.2,5.2,5.2
11,Coop,Produits laitiers,Latticini,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/fromages-emballes/fromages-a-pate-dure-mi-dure/sbrinz-parmesan-gruyere/gruyere-aop-mi-sale-env/p/4972425?context=search,"<a href=""https://www.flaticon.com/free-icons/cheese"" title=""cheese icons"">Cheese icons created by Freepik - Flaticon</a>",gruyere,gruyere_coop,Gruyère,Gruyère,Gruyère AOP mi-salé ,Gruyère AOP semi-salato,Coop Qualité & Prix,450g,450g,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,9.3,9.3,9.3,9.3,9.3,9.75,9.75
12,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/garde-manger/vinaigres-huiles/huiles/tournesol-vegetales/huile-de-tournesol/p/5863713,"<a href=""https://www.flaticon.com/free-icons/sunflower-oil"" title=""sunflower oil icons"">Sunflower oil icons created by Nikita Golubev - Flaticon</a>",huile_tournesol,huile_tournesol_coop,,,Huile de tournesol,Olio di girasole,Coop,1l,1l,,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,5.6,5.6,5.6,5.6,5.6,5.6
13,Coop,Produits laitiers,Latticini,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/beurre-margarine/beurre-de-cuisine-graisses/le-beurre-de-cuisine/p/3081185,"<a href=""https://www.flaticon.com/free-icons/butter"" title=""Butter icons"">Butter icons created by Triangle Squad - Flaticon</a>",beurre,beurre_coop,Beurre,Burro,Le Beurre de cuisine,Burro da cucina,Die Butter,250g,250g,3.65,3.65,3.65,3.65,3.65,3.65,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.75,3.75
14,Coop,Produits laitiers,Latticini,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/yogourts/yogourts-nature/naturaplan-bio-yogourtnature/p/6692691,"<a href=""https://www.flaticon.com/free-icons/yogurt"" title=""yogurt icons"">Yogurt icons created by Freepik - Flaticon</a>",yogourt,yogourt_coop,Yogourt bio,Yogurt bio,Yogourts Nature bio,Yogurt naturale bio,Coop Naturaplan,2 x 180g,2 x 180g,,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
15,Coop,Hygiène et beauté,Igiene e bellezza,https://www.coop.ch/fr/cosmetiques-sante/soins-du-visage/soins-du-visage-par-type-de-peau/peau-normale-combinaison/nivea-creme-boite-150-ml/p/3658201?context=search,"<a href=""https://www.flaticon.com/free-icons/moisturizer"" title=""moisturizer icons"">Moisturizer icons created by Good Ware - Flaticon</a>",creme,creme_coop,Crème visage,Crema viso,Crème visage en boîte,Crema viso in barattolo,Nivéa,150 ml,150 ml,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.1,3.1,2.53,3.1,3.1,3.1,3.1,3.1
16,Coop,Hygiène et beauté,Igiene e bellezza,https://www.coop.ch/fr/cosmetiques-sante/soins-du-visage/serviettes-a-demaquiller-ouate/coton-a-demaquiller/prix-garantie-disques-en-ouate-120-pieces/p/4418716,"<a href=""https://www.flaticon.com/free-icons/cotton"" title=""Cotton icons"">Cotton icons created by bearicons - Flaticon</a>",ouate,ouate_coop,,,Disques en ouate,Dischetti d'ovatta,Coop Prix Garantie ,100 pièces,100 pezzi,0.63,0.63,0.63,0.63,0.71,0.71,0.71,0.71,0.71,0.85,0.71,0.71,0.71,0.71,0.71
17,Coop,Bureau et Papèterie,Materiale d'ufficio,https://www.coop.ch/fr/menage-animaux/bureau-papeterie/papier-blocs-cahiers/paper/papier-pour-photocopieuse-qualite-prix-fsc-a4/p/6762586?context=search,"<a href=""https://www.flaticon.com/free-icons/paper"" title=""paper icons"">Paper icons created by tulpahn - Flaticon</a>",papier,papier_coop,Papier A4,Carta A4,Papier pour photocopieuse Qualité & Prix FSC A4,Carta per fotocopie Qualité & Prix FSC A4,Coop Qualité & Prix,500 feuilles,500 fogli,,10.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95
18,Coop,Fruits & légumes,Frutta e verdura,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-frais-pour-salades/tomates/tomates-cerises-en-grappes/p/3090581,"<a href=""https://www.flaticon.com/free-icons/cherry-tomato"" title=""cherry tomato icons"">Cherry tomato icons created by Culmbio - Flaticon</a>",tomate_cerise,tomate_cerise_coop,Tomates cerises,Pomodori ciliegini,Tomates cerises en grappes,Grappoli di pomodori ciliegini,Coop,500g,500g,3.95,3.95,4.95,4.95,5.5,5.5,4.95,5.5,4.95,4.6,4.2,4.15,3.65,2.5,2.5
19,Coop,Viandes et poissons,Carne e pesce,https://www.coop.ch/fr/nourriture/viandes-poissons/poissons-emballes/poissons-fumes/saumon-fume-ecossais/p/4833107,"<a href=""https://www.flaticon.com/free-icons/salmon"" title=""salmon icons"">Salmon icons created by surang - Flaticon</a>",saumon,saumon_coop,Saumon fumé,Salmone affumicato,Saumon fumé écossais,Salmone affumicato scozzese,Coop Qualité & Prix,120g,120g,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
20,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/garde-manger/aliments-de-base/produits-de-pommes-de-terre/roesti-gratin/roesti-fixfertig/p/3030287?context=search&trackingtoken=searchrelevanz%7Carea1%7CA%7CSearchrelevanz%7CSearchrelevanz_U2P%7CU2P,"<a href=""https://www.flaticon.com/free-icons/pancake"" title=""pancake icons"">Pancake icons created by Freepik - Flaticon</a>",roesti,roesti_coop,Rösti,Rösti,Rösti fixfertig,Rösti fixfertig,Coop Qualité & Prix,500g,500g,,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.3,1.95
21,Coop,Viandes et poissons,Carne e pesce,https://www.coop.ch/fr/nourriture/viandes-poissons/viandes-fraiches-emballees/volaille/poulet-entier-env/p/3060513,"<a href=""https://www.flaticon.com/free-icons/chicken"" title=""chicken icons"">Chicken icons created by Freepik - Flaticon</a>",poulet,poulet_coop,,,Poulet entier,Pollo intero,Coop Qualité & Prix,1kg,1kg,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41
22,Coop,Viandes et poissons,Carne e pesce,https://www.coop.ch/fr/nourriture/viandes-poissons/charcuteries-saucisses/saucisses/saucisses-a-griller/bell-saucisse-a-rotir-au-metre/p/3448279?context=search,"<a href=""https://www.flaticon.com/free-icons/sausage"" title=""sausage icons"">Sausage icons created by Freepik - Flaticon</a>",saucisse,saucisse_coop,Saucisse à rôtir,Salsiccia arrosto,Saucisse à rôtir au mètre,Salsiccia da arrostire al metro,Bell , 350g, 350g,8.95,8.95,8.95,8.95,8.95,9.5,9.5,9.5,9.5,9.5,9.5,9.6,9.6,9.6,9.6
23,Coop,Fruits & légumes,Frutta e verdura,https://www.coop.ch/fr/nourriture/fruits-legumes/salades/salades-tranchees/betty-bossi-naturaplan-bio-melange-de-salades/p/4426050,"<a href=""https://www.flaticon.com/free-icons/salad"" title=""salad icons"">Salad icons created by Smashicons - Flaticon</a>",salade,salade_coop,Salade,Insalata,Mélange de salades bios,Miscela di insalata bio,Betty Bossi Naturaplan ,100g,100g,,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95
24,Coop,Fruits & légumes,Frutta e verdura,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-racines/racines-rouges/betty-bossi-naturaplan-bio-betteraves-cuites/p/5936551,"<a href=""https://www.flaticon.com/free-icons/beetroot"" title=""beetroot icons"">Beetroot icons created by Freepik - Flaticon</a>",betterave,betterave_coop,Betterave cuite,Barbabietola cotta,Betteraves bios cuites ,Barbabietola bio cotta,Betty Bossi Naturaplan ,500g,500g,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.7,2.7,2.7,2.7,2.7,2.7
25,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/plats-cuisines/plats-cuisines-frais/pizzas-fraiches/betty-bossi-naturaplan-bio-pizza-au-prosciutto/p/4460087?context=search,"<a href=""https://www.flaticon.com/free-icons/pizza"" title=""pizza icons"">Pizza icons created by Freepik - Flaticon</a>",pizza,pizza_coop,Pizza bio,Pizza biologica,Pizza bio au prosciutto ,Pizza bio al prosciutto,Betty Bossi Naturaplan ,385g,385g,,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95
26,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/pains-viennoiseries/pate-et-base-pour-gateaux/pate-a-gateau/betty-bossi-pate-brisee-au-beurre-32cm/p/4694043?context=search,"<a href=""https://www.flaticon.com/free-icons/dough"" title=""dough icons"">Dough icons created by monkik - Flaticon</a>",pate_brisee,pate_brisee_coop,Pâte brisée,Pasta frolla,Pâte brisée au beurre Ø32cm ,Pasta frolla al burro Ø32cm,Betty Bossi Naturaplan ,270g,270g,2.5,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8
27,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/surgeles/plats-cuisines/pizzas-surgelees/pizzas/buitoni-pizza-forno-di-pietra-prosciutto-funghi/p/6285804?context=search,"<a href=""https://www.flaticon.com/free-icons/frozen-food"" title=""frozen food icons"">Frozen food icons created by amonrat rungreangfangsai - Flaticon</a>",pizza_surgelee,pizza_surgelee_coop,Pizza surgelée,Pizza surgelata,Pizza Forno di Pietra Prosciutto & Funghi,Pizza Forno di Pietra prosciutto e funghi,Buitoni ,340g,340g,,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
28,Coop,Boissons et alcools,Bevande e alcol,https://www.coop.ch/fr/vins/assortiment-de-vin/vins-rouges/bordeaux-rouge-dbr-roth-legende/p/1000124016?context=search,"<a href=""https://www.flaticon.com/free-icons/red-wine"" title=""red wine icons"">Red wine icons created by Freepik - Flaticon</a>",vin_rouge,vin_rouge_coop,Vin rouge Bordeaux,Vino rosso Bordeaux,Bordeaux rouge DBR Roth Légende,Bordeaux rouge DBR Roth Légende,Roth Légende,75cl,75cl,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,7.95,7.95,8.35,8.35
29,Coop,Hygiène et beauté,Igiene e bellezza,https://www.coop.ch/fr/cosmetiques-sante/hygiene-bucco-dentaire/dentifrices/dentifrice-pour-adultes/colgate-total-whitening-dentifrice/p/6122689?context=search,"<a href=""https://www.flaticon.com/free-icons/toothpaste"" title=""toothpaste icons"">Toothpaste icons created by kosonicon - Flaticon</a>",dentifrice,dentifrice_coop,Dentifrice,Dentifricio,Total Whitening dentifrice,Dentifricio Total Whitening,Colgate ,75ml,75ml,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
30,Coop,Boissons et alcools,Bevande e alcol,https://www.coop.ch/fr/nourriture/boissons/bieres/bieres-panachees-cidre/desperados-bieres-originales-12x25cl/p/6561134?context=search,"<a href=""https://www.flaticon.com/free-icons/beer"" title=""beer icons"">Beer icons created by Freepik - Flaticon</a>",biere,biere_aroma_coop,Bières aromatisées,Birre aromatizzate,Bières aromatisées,Birre aromatizzate,Desperados,12x25cl,12x25cl,,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7
31,Coop,Boissons et alcools,Bevande e alcol,https://www.coop.ch/fr/nourriture/boissons/limonades/multipack-plus-q-un-litre/coca-cola-6x15l/p/3374743?context=search&trackingtoken=searchrelevanz%7Carea1%7CA%7CSearchrelevanz%7CSearchrelevanz_U2P_Promo%7CU2P,"<a href=""https://www.flaticon.com/free-icons/cola"" title=""cola icons"">Cola icons created by Ehtisham Abid - Flaticon</a>",coca,coca_coop,Soda,Soda,Coca-Cola ,Coca-Cola,Coca-Cola,6x1.5l,6x1.5l,,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
32,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/garde-manger/vinaigres-huiles/huiles/huiles-d-olive/filippo-berio-huile-d-olive-extra-vierge/p/3024017?context=search,"<a href=""https://www.flaticon.com/free-icons/olive-oil"" title=""olive oil icons"">Olive oil icons created by Freepik - Flaticon</a>",huile_olive,huile_olive_coop,Huile d’olive,Olio d'oliva,Huile d'olive extra vierge,Olio extravergine di oliva,Filippo Berio ,1l,1l,,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95
33,Coop,Viandes et poissons,Carne e pesce,https://www.coop.ch/fr/nourriture/surgeles/viande-poissons/poissons-fruits-de-mer/poissons-panes/findus-sticks-de-poisson-lieu-d-alaska-surgeles-15-pieces/p/3349114,"<a href=""https://thenounproject.com/browse/icons/term/fish-stick/"" target=""_blank"" title=""fish stick Icons"">Fish sticks</a>",stick,stick_coop,Sticks de poisson,Bastoncini di pesce,Sticks de poisson lieu d'Alaska surgelés,Bastoncini di pesce congelati,Findus,450g,450g,5.4,5.4,5.4,5.4,5.4,4.3,5.4,5.4,4.3,4.3,5.7,4.0,5.7,5.7,5.7
34,Coop,Hygiène et beauté,Igiene e bellezza,https://www.coop.ch/fr/cosmetiques-sante/soins-du-corps/douches/gels-douche/gel-douche-le-petit-marseillais-grenade/p/6123159,"<a href=""https://www.flaticon.com/free-icons/shower-gel"" title=""shower gel icons"">Shower gel icons created by Freepik - Flaticon</a>",douche,douche_coop,Gel douche,Gel doccia,Gel douche Grenade,Gel doccia al melograno,Le Petit Marseilais,250ml,250ml,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
35,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/garde-manger/conserves/legumes/petits-pois-carottes/hero-petits-poids-carottes-en-conserve/p/3022379,"<a href=""https://www.flaticon.com/free-icons/peas"" title=""peas icons"">Peas icons created by Nikita Golubev - Flaticon</a>",pois_carotte,pois_carotte_coop,Petits pois carottes,Carote e piselli,Petits pois & carottes en conserve,Piselli e carote in scatola,Hero,260g,260g,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,3.1,3.1,3.2,3.2
36,Coop,Hygiène et beauté,Igiene e bellezza,https://www.coop.ch/fr/menage-animaux/papier-toilette-essuie-tout/papier-de-toilette/papier-de-toilette/tempo-papier-hygienique-4-plis-blanc-32-rouleaux/p/6095356,"<a href=""https://www.flaticon.com/free-icons/toilet-paper"" title=""toilet paper icons"">Toilet paper icons created by Smashicons - Flaticon</a>",pq,pq_coop,Papier toilette,Carta igienica,Papier hygiénique 4-plis blanc,Carta igienica bianca a 4 veli,Tempo,32 rouleaux,32 rotoli,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,35.0,35.0,35.0,35.0,35.0
37,Coop,Fruits & légumes,Frutta e verdura,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-racines/pommes-de-terre/prix-garantie-pommes-de-terre-farineuse-ou-ferme/p/6575615?context=search,"<a href=""https://www.flaticon.com/free-icons/potato"" title=""potato icons"">Potato icons created by Freepik - Flaticon</a>",patate,patate_coop,Pommes de terre,Patate,Prix Garantie Pommes de terre farineuse ou ferme,Patate Prix Garantie,Coop Prix Garantie ,3.5kgs,3.5kg,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,3.2,3.2
38,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/garde-manger/conserves/olives-apero/olives/crespo-olives-vertes-denoyautees/p/4363174?,"<a href=""https://www.flaticon.com/free-icons/olive"" title=""olive icons"">Olive icons created by Smashicons - Flaticon</a>",olive,olive_coop,,,Olives vertes dénoyautées,Olive verdi snocciolate,Crespo,100g,100g,,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85
39,Coop,Hygiène et beauté,Igiene e bellezza,https://www.coop.ch/fr/cosmetiques-sante/sante-armoire-pharmacie/preservatifs-love-toys/preservatifs/durex-preservatifs-sensations-plus-intenses-10-pieces/p/4689891?context=search,"<a href=""https://www.flaticon.com/free-icons/condom"" title=""condom icons"">Condom icons created by Freepik - Flaticon</a>",preservatif,preservatif_coop,,,Préservatifs,Preservativi,Durex,10 pièces,10 pezzi,,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95
40,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/surgeles/fruits-legumes/legumes-plats-de-pommes-de-terre/pommes-de-terre-transformees/frites-au-four-congelees/p/3070039?context=search,"<a href=""https://www.flaticon.com/free-icons/fries"" title=""fries icons"">Fries icons created by monkik - Flaticon</a>",frite,frite_coop,Frites congelées,Patatine fritte congelate,Frites au four congelées,Patatine fritte congelate,Coop Qualité & Prix,1kg,1kg,,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,5.3,5.3
41,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/cosmetiques-sante/bebe-enfant/aliments-pour-bebe/aliments-pour-bebes/des-8-mois/hipp-puree-de-spaghettis-bolgonaise-bio-8-mois/p/5806483,"<a href=""https://www.flaticon.com/free-icons/baby-food"" title=""baby food icons"">Baby food icons created by amonrat rungreangfangsai - Flaticon</a>",puree_bebe,puree_bebe_coop,Purée pour bébé,Pappe per bébé,Purée de spaghettis bolgonaise bio 8 mois+,Pappa Spaghetti Bolognese dagli 8 mesi,Hipp,220g,220g,,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
42,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/garde-manger/mueesli-cereales/cereales/kellogg-s-choco-krispies-chocos/p/4705345,"<a href=""https://www.flaticon.com/free-icons/cereal"" title=""cereal icons"">Cereal icons created by Freepik - Flaticon</a>",cereale,cereale_coop,Céréales,Cereali,Céréales Choco Krispies,Cereali Choco Krispies,Kellogg's,100g,100g,0.6,0.76,0.76,0.76,0.76,0.76,0.76,0.87,0.87,0.66,0.87,0.87,0.87,0.68,0.87
43,Coop,Conserves et alimentation,Conserve e alimenti,https://www.coop.ch/fr/nourriture/boissons/cafes/capsules-de-cafe/compatible-avec-nespresso/prix-garantie-cafe-espresso-30-capsules-compatible-systeme-nespresso/p/6305835?context=search,"<a href=""https://www.flaticon.com/free-icons/coffee-capsule"" title=""coffee capsule icons"">Coffee capsule icons created by Freepik - Flaticon</a>",cafe_capsule,cafe_capsule_coop,Café en capsule,Caffè in capsule,Café Espresso,Caffè Espresso,Coop Prix Garantie ,30 pièces,30 pezzi,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95
44,Coop,Produits laitiers,Latticini,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/fromages-emballes/fromages-frais-mozzarella/mozzarella-ricotta/galbani-mozzarella/p/3080329,"<a href=""https://www.flaticon.com/free-icons/mozzarella"" title=""mozzarella icons"">Mozzarella icons created by Smashicons - Flaticon</a>",mozzarella,mozzarella_coop,,,Mozzarella,Mozzarella,Galbani,100g,100g,1.13,1.43,1.43,1.43,1.43,1.43,1.15,1.43,1.13,2.2,2.2,2.2,1.16,2.2,2.2
45,Coop,Fruits & légumes,Frutta e verdura,https://www.coop.ch/fr/nourriture/surgeles/fruits-legumes/legumes-plats-de-pommes-de-terre/legumes/haricots-fins-surgeles/p/4786997?context=search,"<a href=""https://www.flaticon.com/free-icons/green-beans"" title=""green beans icons"">Green beans icons created by Culmbio - Flaticon</a>",haricot,haricot_coop,,,Haricots fins surgelés,Fagioli fini surgelati,Coop Qualité & Prix,1kg,1kg,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.2,5.3,5.3,5.3,5.3
46,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/mo/219888,"<a href=""https://www.flaticon.com/free-icons/eggplant"" title=""eggplant icons"">Eggplant icons created by Icongeek26 - Flaticon</a>",aubergine,aubergine_migros,,,Aubergines,Melanzane,Migros,1kg,1kg,4.8,4.8,4.8,4.8,5.15,5.15,5.15,5.15,5.15,5.15,5.15,,,,
47,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/264500313200,"<a href=""https://www.flaticon.com/free-icons/avocado"" title=""avocado icons"">Avocado icons created by justicon - Flaticon</a>",avocat,avocat_migros,,,Avocat,Avocado,Migros,1 pièce,1 pezzo,1.55,1.55,1.55,3.0,1.55,1.55,1.55,1.55,1.55,1.55,1.2,1.55,1.55,1.55,1.55
