Magasin,Rayon,URL,Produit,Marque,Quantité/poids,17.05.2022,01.06.2022,15.06.2022,01.07.2022,15.07.2022,31.07.2022,16.08.2022,01.09.2022,15.09.2022,01.10.2022,15.10.2022,01.11.2022,14.11.2022,06.12.2022,16.12.2022,02.01.2023,16.01.2023,01.02.2023,20.02.2023,01.03.2023,15.03.2023,01.04.2023,14.04.2023,01.05.2023
Coop,Produits laitiers,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/yogourts/yogourts-aromatises/vanille-caramel-miel/fairtrade-yogourts-de-ferme-a-la-vanille/p/5677374?context=search,Fairtrade Yogourts de ferme à la vanille,Coop Qualité & Prix,2 x 180g,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,1.2
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/surgeles/plats-cuisines/plus-de-plats-surgeles/findus-lasagne-bolognaise-surgelee/p/4914489,Lasagne bolognaise surgelée,Findus,360g,,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,,,5.7
Coop,Produits laitiers,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/fromages-emballes/fromages-a-pate-dure-mi-dure/sbrinz-parmesan-gruyere/gruyere-aop-mi-sale-env/p/4972425?context=search,Gruyère AOP mi-salé ,Coop Qualité & Prix,450g,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,9.3,9.3,9.3,9.3,9.3,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,,,9.85
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/vinaigres-huiles/huiles/tournesol-vegetales/huile-de-tournesol/p/5863713,Huile de tournesol (1l),Coop,1l,,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,,,5.4
Coop,Produits laitiers,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/beurre-margarine/beurre-de-cuisine-graisses/le-beurre-de-cuisine/p/3081185,Le Beurre de cuisine,Die Butter,250g,3.65,3.65,3.65,3.65,3.65,3.65,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.75,3.75,3.95,3.95,3.95,3.95,3.95,3.95,,,3.5
Coop,Produits laitiers,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/yogourts/yogourts-nature/naturaplan-bio-yogourtnature/p/6692691,Yogourts Nature bio,Coop Naturaplan,2 x 180g,,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.5,,,1.5
Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/soins-du-visage/soins-du-visage-par-type-de-peau/peau-normale-combinaison/nivea-creme-boite-150-ml/p/3658201?context=search,Crème visage en boîte,Nivéa,150 ml,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.1,3.1,2.53,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,,,3.1
Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/soins-du-visage/serviettes-a-demaquiller-ouate/coton-a-demaquiller/prix-garantie-disques-en-ouate-120-pieces/p/4418716,Disques en ouate,Coop Prix Garantie ,100 pièces,0.63,0.63,0.63,0.63,0.71,0.71,0.71,0.71,0.71,0.85,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.63,0.63,0.63,,,0.63
Coop,Bureau et Papèterie,https://www.coop.ch/fr/menage-animaux/bureau-papeterie/papier-blocs-cahiers/paper/papier-pour-photocopieuse-qualite-prix-fsc-a4/p/6762586?context=search,Papier pour photocopieuse Qualité & Prix FSC A4 (500BLT),Coop Qualité & Prix,500 feuilles,,10.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,12.95,,,12.95
Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-frais-pour-salades/tomates/tomates-cerises-en-grappes/p/3090581,Tomates cerises en grappes (prix pour 100g),Migros,500g,3.95,3.95,4.95,4.95,5.5,5.5,4.95,5.5,4.95,4.6,4.2,4.15,3.65,2.5,2.5,2.5,2.3,2.3,2.95,2.95,2.95,,,3.95
Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/soins-du-visage/serviettes-a-demaquiller-ouate/coton-a-demaquiller/well-disques-de-ouate-ronde-80-pieces/p/6356897?context=search,Disques de ouate ronde,Well,100 pièces,2.38,2.38,2.38,2.38,2.44,2.44,2.44,2.44,2.44,1.63,2.44,2.44,2.44,1.63,2.44,2.44,2.44,2.44,2.44,2.44,1.95,,,2.44
Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/viandes-poissons/poissons-emballes/poissons-fumes/saumon-fume-ecossais/p/4833107,Saumon fumé écossais,Coop Qualité & Prix,120g,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,,,7.8
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/aliments-de-base/produits-de-pommes-de-terre/roesti-gratin/roesti-fixfertig/p/3030287?context=search&trackingtoken=searchrelevanz%7Carea1%7CA%7CSearchrelevanz%7CSearchrelevanz_U2P%7CU2P,Rösti fixfertig,Coop Qualité & Prix,500g,,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.3,1.95,1.3,1.95,1.95,1.95,1.95,1.95,,,2.3
Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/viandes-poissons/viandes-fraiches-emballees/volaille/poulet-entier-env/p/3060513,Poulet entier,Coop Qualité & Prix,1kg,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,11.1,11.1,11.1,11.1,,,11.1
Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/viandes-poissons/charcuteries-saucisses/saucisses/saucisses-a-griller/bell-saucisse-a-rotir-au-metre/p/3448279?context=search,Saucisse à rôtir au mètre,Bell , 350g,8.95,8.95,8.95,8.95,8.95,9.5,9.5,9.5,9.5,9.5,9.5,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,,,9.6
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/fruits-legumes/salades/salades-tranchees/betty-bossi-naturaplan-bio-melange-de-salades/p/4426050,Mélange de salades bios,Betty Bossi Naturaplan ,100g,,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,,,1.95
Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-racines/racines-rouges/betteraves-rouges-cuites-bio-naturaplan/p/6986645,Betteraves bios cuites ,Betty Bossi Naturaplan ,500g,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.3,2.25,2.25,,,,2.95
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/plats-cuisines/plats-cuisines-frais/pizzas-fraiches/betty-bossi-naturaplan-bio-pizza-au-prosciutto/p/4460087?context=search,Pizza bio au prosciutto ,Betty Bossi Naturaplan ,385g,,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,7.3,7.3,7.3,7.3,7.3,7.3,,,7.3
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/pains-viennoiseries/pate-et-base-pour-gateaux/pate-a-gateau/betty-bossi-pate-brisee-au-beurre-32cm/p/4694043?context=search,Pâte brisée au beurre Ø32cm ,Betty Bossi Naturaplan ,270g,2.5,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,2.8
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/surgeles/plats-cuisines/pizzas-surgelees/pizzas/buitoni-pizza-forno-di-pietra-prosciutto-funghi/p/6285804?context=search,Pizza Forno di Pietra Prosciutto & Funghi,Buitoni ,340g,,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,,,5.6
Coop,Boissons et alcools,https://www.coop.ch/fr/vins/assortiment-de-vin/vins-rouges/bordeaux-rouge-dbr-roth-legende/p/1000124016?context=search,Bordeaux rouge DBR Roth Légende,Roth Légende,75cl,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,7.95,7.95,8.35,8.35,11.95,11.95,11.95,7.15,11.95,11.1,,,11.95
Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/hygiene-bucco-dentaire/dentifrices/dentifrice-pour-adultes/colgate-total-whitening-dentifrice/p/6122689?context=search,Total Whitening dentifrice,Colgate ,75ml,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,,,4.2
Coop,Boissons et alcools,https://www.coop.ch/fr/nourriture/boissons/bieres/bieres-panachees-cidre/desperados-bieres-originales-12x25cl/p/6561134?context=search,Bières aromatisées,Desperados,12x25cl,,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,16.95,16.95,16.95,16.95,13.55,16.95,,,16.95
Coop,Boissons et alcools,https://www.coop.ch/fr/nourriture/boissons/limonades/multipack-plus-q-un-litre/coca-cola-6x15l/p/3374743?context=search&trackingtoken=searchrelevanz%7Carea1%7CA%7CSearchrelevanz%7CSearchrelevanz_U2P_Promo%7CU2P,Coca-Cola ,Coca-Cola,6x1.5l,,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,13.8,13.8,13.8,13.8,,,13.8
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/vinaigres-huiles/huiles/huiles-d-olive/filippo-berio-huile-d-olive-extra-vierge/p/3024017?context=search,Huile d'olive extra vierge (1l),Filippo Berio ,1l,,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,16.5,16.5,16.5,16.5,16.5,16.5,,,16.5
Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/surgeles/viande-poissons/poissons-fruits-de-mer/poissons-panes/findus-sticks-de-poisson-lieu-d-alaska-surgeles-15-pieces/p/3349114,Sticks de poisson lieu d'Alaska surgelés 15 pièces (450g),Findus,450g,5.4,5.4,5.4,5.4,5.4,4.3,5.4,5.4,4.3,4.3,5.7,4,5.7,5.7,5.7,5.7,5.7,5.7,5.7,4.5,5.7,,,5.85
Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/soins-du-corps/douches/gels-douche/gel-douche-le-petit-marseillais-grenade/p/6123159,Gel douche Grenade,Le Petit Marseilais,250ml,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,3.5
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/conserves/legumes/petits-pois-carottes/hero-petits-poids-carottes-en-conserve/p/3022379,Petits poids & carottes en conserve,Hero,260g,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,,,3.2
Coop,Hygiène et beauté,https://www.coop.ch/fr/menage-animaux/papier-toilette-essuie-tout/papier-de-toilette/papier-de-toilette/tempo-papier-hygienique-4-plis-blanc-32-rouleaux/p/6095356,Papier hygiénique 4-plis blanc 32 rouleaux,Tempo,32 rouleaux,31,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,35,35,35,35,35,,,20.95
Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-racines/pommes-de-terre/prix-garantie-pommes-de-terre-farineuse-ou-ferme/p/6575615?context=search,Prix Garantie Pommes de terre farineuse ou ferme (3.5kg),Coop Prix Garantie ,3.5kg,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,,,3.2
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/conserves/olives-apero/olives/crespo-olives-vertes-denoyautees/p/4363174?,Olives vertes dénoyautées,Crespo,100g,,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,,,2.2
Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/sante-armoire-pharmacie/preservatifs-love-toys/preservatifs/durex-preservatifs-sensations-plus-intenses-10-pieces/p/4689891?context=search,Préservatifs,Durex,10 pièces,,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,11.95,11.95,11.95,11.95,,,11.95
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/surgeles/fruits-legumes/legumes-plats-de-pommes-de-terre/pommes-de-terre-transformees/frites-au-four-congelees/p/3070039?context=search,Frites au four congelées,Coop Qualité & Prix,1kg,,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,,,5.3
Coop,Conserves et alimentation,https://www.coop.ch/fr/cosmetiques-sante/bebe-enfant/aliments-pour-bebe/aliments-pour-bebes/des-8-mois/hipp-puree-de-spaghettis-bolgonaise-bio-8-mois/p/5806483,Purée de spaghettis bolgonaise bio 8 mois+ (220g),Hipp,220g,,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.25,1.8,2.25,,,2.25
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/mueesli-cereales/cereales/kellogg-s-choco-krispies-chocos/p/4705345,Céréales Choco Krispies,Kellogg's,100g,0.6,0.76,0.76,0.76,0.76,0.76,0.76,0.87,0.87,0.66,0.87,0.87,0.87,0.68,0.87,0.87,0.87,0.87,0.87,0.87,0.87,,,0.87
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/boissons/cafes/capsules-de-cafe/compatible-avec-nespresso/prix-garantie-cafe-espresso-30-capsules-compatible-systeme-nespresso/p/6305835?context=search,Café Espresso 30 capsules ,Coop Prix Garantie ,30 pièces,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,,,4.95
Coop,Produits laitiers,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/fromages-emballes/fromages-frais-mozzarella/mozzarella-ricotta/galbani-mozzarella/p/3080329,Mozzarella,Galbani,100g,1.13,1.43,1.43,1.43,1.43,1.43,1.15,1.43,1.13,2.2,2.2,2.2,1.16,2.2,2.2,2.2,2.2,2.2,2.4,2.4,,,,2.4
Coop,Hygiène et beauté,https://www.coop.ch/fr/menage-animaux/soins-du-linge/detachants-soin-couleurs/detachant/prix-garantie-eau-javel/p/6521384,Eau de Javel,Coop Prix Garantie ,2l,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,,,1.3
Coop,Boissons et alcools,https://www.coop.ch/fr/nourriture/boissons/bieres/bieres-en-multipacks/feldschloesschen-original-biere-blonde-10x33cl/p/3051548,Bière blonde,Feldschlösschen,10 x 33cl,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,12.5,12.5,12.5,12.5,12.5,12.5,,,12.5
Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/surgeles/fruits-legumes/legumes-plats-de-pommes-de-terre/legumes/haricots-fins-surgeles/p/4786997?context=search,Haricots fins surgelés,Coop Qualité & Prix,1kg,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,,,5.3
,Total,,,,,,279.09,282.1,281,280.59,279.8,280.82,283.11,282.36,283.08,287.88,282.56,283.04,281.39,278.17,283.52,285.13,288.72,284.64,284.24,277.1,,,275.49
Migros,Fruits & légumes,https://www.migros.ch/fr/product/mo/61594,Aubergines,Migros,1kg,4.8,4.8,4.8,4.8,5.15,5.15,5.15,5.15,5.15,5.15,5.15,,4.5,5.5,5.5,5.3,4.9,6.7,6.8,6.8,6.8,6.8,6.8,
Migros,Fruits & légumes,https://www.migros.ch/fr/product/264500313200,Avocat,Migros,1 pièce,1.55,1.55,1.55,3,1.55,1.55,1.55,1.55,1.55,1.55,1.2,1.55,1.55,1.55,1.55,1.55,1.55,1.7,1.7,1.7,1.7,1.65,1.65,1.65
Migros,Viandes et poissons,https://www.migros.ch/fr/product/243120704000,Escalopes de dinde,Don Pollo,1kg,,17,17,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/104240600000,Barres de Céréales Pomme-chocolat,Farmer Soft Choc,288g,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.6,4.5,4.6,4.6,4.6,3.15,4.6,4.6,4.6
Migros,Fruits & légumes,https://www.migros.ch/fr/product/274450002300,Pommes de terre farineuses,Fresca,1kg,1.68,1.76,2.16,1.84,1.76,1.58,1.44,1.44,1.6,1.7,1.5,1.5,1.7,1.7,1.7,1.7,1.6,1.48,1.6,1.48,1.48,1.48,1.48,1.6
Migros,Fruits & légumes,https://www.migros.ch/fr/product/273800502400,Haricots verts,Migros,1kg,5.5,5.5,5.5,8.6,8.6,8.6,8.4,8.4,8.4,6.7,8.4,7.2,5.9,5.5,5.5,5.5,5.5,5.8,5.5,5.5,5.9,5.9,5.9,5.9
Migros,Viandes et poissons,https://www.migros.ch/fr/product/230110600910,Saucisse à rôtir de veau (prix au kilo),IP Suisse,1kg,17.14,17.14,17.14,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68
Migros,Fruits & légumes,https://www.migros.ch/fr/product/mo/61603,Tomates rondes,M-Budget ou Partner,1kg,1.9,2.7,2.7,3.2,3,3,3,3,3,3,,,,,3.1,3.1,4.3,3.7,4.2,4.2,4.2,4.2,4.2,5.9
Migros,Viandes et poissons,https://www.migros.ch/fr/product/251200300000,Filet de saumon sans peau,M-Classic,500g,24.75,24.75,23.5,23.5,23.5,23.5,23.5,23.5,23.5,28.5,23.5,23.5,16.25,23.5,23.5,23.5,16.25,23.5,23.5,23.5,23.5,23.5,23.5,23.5
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/111273500000,IP Suisse Pain clair de froment Toast & Sandwich,M-Classic,620g,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/104474100000,Semoule de blé dur Couscous,M-Classic,1kg,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
Migros,Viandes et poissons,https://www.migros.ch/fr/product/mo/3850321,Poulet Entier,Optigal ,1kg,,9.7,9.7,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,7.95,9.95,9.95,7.95,9.95,7.95,9.95,7.95,9.95,7.95,9.95,7.95,9.95
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/520597600000,Couches Taille 2 - 4-8kg,Pampers,76 pièces,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,
Migros,Fruits & légumes,https://www.migros.ch/fr/product/mo/222484,Salade Batavia,Migros,1 pièce,1.7,1.7,1.7,1.7,1.95,1.95,1.95,1.95,1.95,1.95,1.95,2.2,2.3,2.3,2.3,,,,,,,,,2.3
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/526222000000,"Comfort Recycling Papier toilette 200 feuilles, 3 plis",Soft,12 rouleaux,6.3,6.3,7,7,7,7,7,7,7,7,7,7.5,7.5,7.5,7.5,7.5,7.5,7.95,7.95,7.95,7.95,7.95,7.95,7.95
Migros,Viandes et poissons,https://www.migros.ch/fr/product/220262010092,Filet de bœuf ,Migros selection,180-220g,21,21.8,21.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,18.2,18.2,22.8,22.8,22.8,20.5,20.5,20.5,16.4,25.65,25.65
Migros,Fruits & légumes,https://www.migros.ch/fr/product/271413502300,Tomates grappe Cerises,Fresca,500g,3.5,2.8,3.8,4.95,4.95,4.95,4.95,4.95,4.95,3.65,2.7,3.5,3.3,2.2,2.2,2.2,2,2,2.2,2.9,2.9,2.5,2,2.55
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/mo/6826101,Pain bis Bio,Migros,500g,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/196025001000,Oeufs suisses M Élevage en plein air,IP Suisse,10 pièces,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.25,5.25,5.25,5.25,5.1,5.1,5.1,5.1,5.1
Migros,Viandes et poissons,https://www.migros.ch/fr/product/165041300000,Bâtonnets de cabillaud panés,Pélican,10 pièces,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.95,3.95,3.95,3.95,4.3,4.3,4.3,4.3,4.3,4.3,4.3
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/101978600000,Chips apéritives,Pringles,200 g,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.45,3.1,3.1,3.1,3.1,3.1,3.1,2.45,3.1,3.5
Migros,Viandes et poissons,https://www.migros.ch/fr/product/155127200000,Thon au naturel,Rio Mare,112 g,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,3.5,4.4,4.4,4.7,4.7,4.7,4.7
