,shop,category,url,attribution,icon_id,product_id,product_short,product_full,brand,quantity,17.05.2022,01.06.2022,15.06.2022,01.07.2022,15.07.2022,31.07.2022,16.08.2022,01.09.2022,15.09.2022,01.10.2022,15.10.2022
10,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/surgeles/plats-cuisines/plus-de-plats-surgeles/findus-lasagne-bolognaise-surgelee/p/4914489,"<a href=""https://www.flaticon.com/free-icons/lasagna"" title=""lasagna icons"">Lasagna icons created by Icongeek26 - Flaticon</a>",lasagne,lasagne_coop,Lasagne surgelée,Lasagne bolognaise surgelée,Findus,360g,,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,5.2,5.2
11,Coop,Produits laitiers,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/fromages-emballes/fromages-a-pate-dure-mi-dure/sbrinz-parmesan-gruyere/gruyere-aop-mi-sale-env/p/4972425?context=search,"<a href=""https://www.flaticon.com/free-icons/cheese"" title=""cheese icons"">Cheese icons created by Freepik - Flaticon</a>",gruyere,gruyere_coop,Gruyère,Gruyère AOP mi-salé ,Coop Qualité & Prix,450g,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,9.3,9.3,9.3
12,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/vinaigres-huiles/huiles/tournesol-vegetales/huile-de-tournesol/p/5863713,"<a href=""https://www.flaticon.com/free-icons/sunflower-oil"" title=""sunflower oil icons"">Sunflower oil icons created by Nikita Golubev - Flaticon</a>",huile_tournesol,huile_tournesol_coop,,Huile de tournesol,Coop,1l,,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,5.6,5.6
13,Coop,Produits laitiers,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/beurre-margarine/beurre-de-cuisine-graisses/le-beurre-de-cuisine/p/3081185,"<a href=""https://www.flaticon.com/free-icons/butter"" title=""Butter icons"">Butter icons created by Triangle Squad - Flaticon</a>",beurre,beurre_coop,Beurre,Le Beurre de cuisine,Die Butter,250g,3.65,3.65,3.65,3.65,3.65,3.65,3.7,3.7,3.7,3.7,3.7
14,Coop,Produits laitiers,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/yogourts/yogourts-nature/naturaplan-bio-yogourtnature/p/6692691,"<a href=""https://www.flaticon.com/free-icons/yogurt"" title=""yogurt icons"">Yogurt icons created by Freepik - Flaticon</a>",yogourt,yogourt_coop,Yogourt bio,Yogourts Nature bio,Coop Naturaplan,2 x 180g,,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5
15,Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/soins-du-visage/soins-du-visage-par-type-de-peau/peau-normale-combinaison/nivea-creme-boite-150-ml/p/3658201?context=search,"<a href=""https://www.flaticon.com/free-icons/moisturizer"" title=""moisturizer icons"">Moisturizer icons created by Good Ware - Flaticon</a>",creme,creme_coop,Crème visage,Crème visage en boîte,Nivéa,150 ml,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.1,3.1,2.53,3.1
16,Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/soins-du-visage/serviettes-a-demaquiller-ouate/coton-a-demaquiller/prix-garantie-disques-en-ouate-120-pieces/p/4418716,"<a href=""https://www.flaticon.com/free-icons/cotton"" title=""Cotton icons"">Cotton icons created by bearicons - Flaticon</a>",ouate,ouate_coop,,Disques en ouate,Coop Prix Garantie ,100 pièces,0.63,0.63,0.63,0.63,0.71,0.71,0.71,0.71,0.71,0.85,0.71
17,Coop,Bureau et Papèterie,https://www.coop.ch/fr/menage-animaux/bureau-papeterie/papier-blocs-cahiers/paper/papier-pour-photocopieuse-qualite-prix-fsc-a4/p/6762586?context=search,"<a href=""https://www.flaticon.com/free-icons/paper"" title=""paper icons"">Paper icons created by tulpahn - Flaticon</a>",papier,papier_coop,Papier A4,Papier pour photocopieuse Qualité & Prix FSC A4,Coop Qualité & Prix,500 feuilles,,10.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95
18,Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-frais-pour-salades/tomates/tomates-cerises-en-grappes/p/3090581,"<a href=""https://www.flaticon.com/free-icons/cherry-tomato"" title=""cherry tomato icons"">Cherry tomato icons created by Culmbio - Flaticon</a>",tomate_cerise,tomate_cerise_coop,Tomates cerises,Tomates cerises en grappes,Coop,500g,3.95,3.95,4.95,4.95,5.5,5.5,4.95,5.5,4.95,4.6,4.2
19,Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/viandes-poissons/poissons-emballes/poissons-fumes/saumon-fume-ecossais/p/4833107,"<a href=""https://www.flaticon.com/free-icons/salmon"" title=""salmon icons"">Salmon icons created by surang - Flaticon</a>",saumon,saumon_coop,Saumon fumé,Saumon fumé écossais,Coop Qualité & Prix,120g,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
20,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/aliments-de-base/produits-de-pommes-de-terre/roesti-gratin/roesti-fixfertig/p/3030287?context=search&trackingtoken=searchrelevanz%7Carea1%7CA%7CSearchrelevanz%7CSearchrelevanz_U2P%7CU2P,"<a href=""https://www.flaticon.com/free-icons/pancake"" title=""pancake icons"">Pancake icons created by Freepik - Flaticon</a>",roesti,roesti_coop,Rösti,Rösti fixfertig,Coop Qualité & Prix,500g,,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95
21,Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/viandes-poissons/viandes-fraiches-emballees/volaille/poulet-entier-env/p/3060513,"<a href=""https://www.flaticon.com/free-icons/chicken"" title=""chicken icons"">Chicken icons created by Freepik - Flaticon</a>",poulet,poulet_coop,,Poulet entier,Coop Qualité & Prix,1kg,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41
22,Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/viandes-poissons/charcuteries-saucisses/saucisses/saucisses-a-griller/bell-saucisse-a-rotir-au-metre/p/3448279?context=search,"<a href=""https://www.flaticon.com/free-icons/sausage"" title=""sausage icons"">Sausage icons created by Freepik - Flaticon</a>",saucisse,saucisse_coop,Saucisse à rôtir,Saucisse à rôtir au mètre,Bell , 350g,8.95,8.95,8.95,8.95,8.95,9.5,9.5,9.5,9.5,9.5,9.5
23,Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/salades/salades-tranchees/betty-bossi-naturaplan-bio-melange-de-salades/p/4426050,"<a href=""https://www.flaticon.com/free-icons/salad"" title=""salad icons"">Salad icons created by Smashicons - Flaticon</a>",salade,salade_coop,Salade,Mélange de salades bios,Betty Bossi Naturaplan ,100g,,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95
24,Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-racines/racines-rouges/betty-bossi-naturaplan-bio-betteraves-cuites/p/5936551,"<a href=""https://www.flaticon.com/free-icons/beetroot"" title=""beetroot icons"">Beetroot icons created by Freepik - Flaticon</a>",betterave,betterave_coop,Betterave cuite,Betteraves bios cuites ,Betty Bossi Naturaplan ,500g,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.7,2.7
25,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/plats-cuisines/plats-cuisines-frais/pizzas-fraiches/betty-bossi-naturaplan-bio-pizza-au-prosciutto/p/4460087?context=search,"<a href=""https://www.flaticon.com/free-icons/pizza"" title=""pizza icons"">Pizza icons created by Freepik - Flaticon</a>",pizza,pizza_coop,Pizza bio,Pizza bio au prosciutto ,Betty Bossi Naturaplan ,385g,,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95
26,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/pains-viennoiseries/pate-et-base-pour-gateaux/pate-a-gateau/betty-bossi-pate-brisee-au-beurre-32cm/p/4694043?context=search,"<a href=""https://www.flaticon.com/free-icons/dough"" title=""dough icons"">Dough icons created by monkik - Flaticon</a>",pate_brisee,pate_brisee_coop,Pâte brisée,Pâte brisée au beurre Ø32cm ,Betty Bossi Naturaplan ,270g,2.5,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
27,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/surgeles/plats-cuisines/pizzas-surgelees/pizzas/buitoni-pizza-forno-di-pietra-prosciutto-funghi/p/6285804?context=search,"<a href=""https://www.flaticon.com/free-icons/frozen-food"" title=""frozen food icons"">Frozen food icons created by amonrat rungreangfangsai - Flaticon</a>",pizza_surgelee,pizza_surgelee_coop,Pizza surgelée,Pizza Forno di Pietra Prosciutto & Funghi,Buitoni ,340g,,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
28,Coop,Boissons et alcools,https://www.coop.ch/fr/vins/assortiment-de-vin/vins-rouges/bordeaux-rouge-dbr-roth-legende/p/1000124016?context=search,"<a href=""https://www.flaticon.com/free-icons/red-wine"" title=""red wine icons"">Red wine icons created by Freepik - Flaticon</a>",vin_rouge,vin_rouge_coop,Vin rouge Bordeaux,Bordeaux rouge DBR Roth Légende,Roth Légende,75cl,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95
29,Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/hygiene-bucco-dentaire/dentifrices/dentifrice-pour-adultes/colgate-total-whitening-dentifrice/p/6122689?context=search,"<a href=""https://www.flaticon.com/free-icons/toothpaste"" title=""toothpaste icons"">Toothpaste icons created by kosonicon - Flaticon</a>",dentifrice,dentifrice_coop,Dentifrice,Total Whitening dentifrice,Colgate ,75ml,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
30,Coop,Boissons et alcools,https://www.coop.ch/fr/nourriture/boissons/bieres/bieres-panachees-cidre/desperados-bieres-originales-12x25cl/p/6561134?context=search,"<a href=""https://www.flaticon.com/free-icons/beer"" title=""beer icons"">Beer icons created by Freepik - Flaticon</a>",biere,biere_aroma_coop,Bières aromatisées,Bières aromatisées,Desperados,12x25cl,,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7
31,Coop,Boissons et alcools,https://www.coop.ch/fr/nourriture/boissons/limonades/multipack-plus-q-un-litre/coca-cola-6x15l/p/3374743?context=search&trackingtoken=searchrelevanz%7Carea1%7CA%7CSearchrelevanz%7CSearchrelevanz_U2P_Promo%7CU2P,"<a href=""https://www.flaticon.com/free-icons/cola"" title=""cola icons"">Cola icons created by Ehtisham Abid - Flaticon</a>",coca,coca_coop,Soda,Coca-Cola ,Coca-Cola,6x1.5l,,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
32,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/vinaigres-huiles/huiles/huiles-d-olive/filippo-berio-huile-d-olive-extra-vierge/p/3024017?context=search,"<a href=""https://www.flaticon.com/free-icons/olive-oil"" title=""olive oil icons"">Olive oil icons created by Freepik - Flaticon</a>",huile_olive,huile_olive_coop,Huile d’olive,Huile d'olive extra vierge,Filippo Berio ,1l,,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95
33,Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/surgeles/viande-poissons/poissons-fruits-de-mer/poissons-panes/findus-sticks-de-poisson-lieu-d-alaska-surgeles-15-pieces/p/3349114,"<a href=""https://thenounproject.com/browse/icons/term/fish-stick/"" target=""_blank"" title=""fish stick Icons"">Fish sticks</a>",stick,stick_coop,Sticks de poisson,Sticks de poisson lieu d'Alaska surgelés,Findus,450g,5.4,5.4,5.4,5.4,5.4,4.3,5.4,5.4,4.3,4.3,5.7
34,Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/soins-du-corps/douches/gels-douche/gel-douche-le-petit-marseillais-grenade/p/6123159,"<a href=""https://www.flaticon.com/free-icons/shower-gel"" title=""shower gel icons"">Shower gel icons created by Freepik - Flaticon</a>",douche,douche_coop,Gel douche,Gel douche Grenade,Le Petit Marseilais,250ml,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
35,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/conserves/legumes/petits-pois-carottes/hero-petits-poids-carottes-en-conserve/p/3022379,"<a href=""https://www.flaticon.com/free-icons/peas"" title=""peas icons"">Peas icons created by Nikita Golubev - Flaticon</a>",pois_carotte,pois_carotte_coop,Petits pois carottes,Petits pois & carottes en conserve,Hero,260g,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1
36,Coop,Hygiène et beauté,https://www.coop.ch/fr/menage-animaux/papier-toilette-essuie-tout/papier-de-toilette/papier-de-toilette/tempo-papier-hygienique-4-plis-blanc-32-rouleaux/p/6095356,"<a href=""https://www.flaticon.com/free-icons/toilet-paper"" title=""toilet paper icons"">Toilet paper icons created by Smashicons - Flaticon</a>",pq,pq_coop,Papier toilette,Papier hygiénique 4-plis blanc,Tempo,32 rouleaux,31,31,31,31,31,31,31,31,31,31,35
37,Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-racines/pommes-de-terre/prix-garantie-pommes-de-terre-farineuse-ou-ferme/p/6575615?context=search,"<a href=""https://www.flaticon.com/free-icons/potato"" title=""potato icons"">Potato icons created by Freepik - Flaticon</a>",patate,patate_coop,Pommes de terre,Prix Garantie Pommes de terre farineuse ou ferme,Coop Prix Garantie ,3.5kgs,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95
38,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/conserves/olives-apero/olives/crespo-olives-vertes-denoyautees/p/4363174?,"<a href=""https://www.flaticon.com/free-icons/olive"" title=""olive icons"">Olive icons created by Smashicons - Flaticon</a>",olive,olive_coop,,Olives vertes dénoyautées,Crespo,100g,,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85
39,Coop,Hygiène et beauté,https://www.coop.ch/fr/cosmetiques-sante/sante-armoire-pharmacie/preservatifs-love-toys/preservatifs/durex-preservatifs-sensations-plus-intenses-10-pieces/p/4689891?context=search,"<a href=""https://www.flaticon.com/free-icons/condom"" title=""condom icons"">Condom icons created by Freepik - Flaticon</a>",preservatif,preservatif_coop,,Préservatifs,Durex,10 pièces,,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95
40,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/surgeles/fruits-legumes/legumes-plats-de-pommes-de-terre/pommes-de-terre-transformees/frites-au-four-congelees/p/3070039?context=search,"<a href=""https://www.flaticon.com/free-icons/fries"" title=""fries icons"">Fries icons created by monkik - Flaticon</a>",frite,frite_coop,Frites congelées,Frites au four congelées,Coop Qualité & Prix,1kg,,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95
41,Coop,Conserves et alimentation,https://www.coop.ch/fr/cosmetiques-sante/bebe-enfant/aliments-pour-bebe/aliments-pour-bebes/des-8-mois/hipp-puree-de-spaghettis-bolgonaise-bio-8-mois/p/5806483,"<a href=""https://www.flaticon.com/free-icons/baby-food"" title=""baby food icons"">Baby food icons created by amonrat rungreangfangsai - Flaticon</a>",puree_bebe,puree_bebe_coop,Purée pour bébé,Purée de spaghettis bolgonaise bio 8 mois+,Hipp,220g,,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
42,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/mueesli-cereales/cereales/kellogg-s-choco-krispies-chocos/p/4705345,"<a href=""https://www.flaticon.com/free-icons/cereal"" title=""cereal icons"">Cereal icons created by Freepik - Flaticon</a>",cereale,cereale_coop,Céréales,Céréales Choco Krispies,Kellogg's,100g,0.6,0.76,0.76,0.76,0.76,0.76,0.76,0.87,0.87,0.66,0.87
43,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/boissons/cafes/capsules-de-cafe/compatible-avec-nespresso/prix-garantie-cafe-espresso-30-capsules-compatible-systeme-nespresso/p/6305835?context=search,"<a href=""https://www.flaticon.com/free-icons/coffee-capsule"" title=""coffee capsule icons"">Coffee capsule icons created by Freepik - Flaticon</a>",cafe_capsule,cafe_capsule_coop,Café en capsule,Café Espresso,Coop Prix Garantie ,30 pièces,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95
44,Coop,Produits laitiers,https://www.coop.ch/fr/nourriture/produits-laitiers-oeufs/fromages-emballes/fromages-frais-mozzarella/mozzarella-ricotta/galbani-mozzarella/p/3080329,"<a href=""https://www.flaticon.com/free-icons/mozzarella"" title=""mozzarella icons"">Mozzarella icons created by Smashicons - Flaticon</a>",mozzarella,mozzarella_coop,,Mozzarella,Galbani,100g,1.13,1.43,1.43,1.43,1.43,1.43,1.15,1.43,1.13,2.2,2.2
45,Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/surgeles/fruits-legumes/legumes-plats-de-pommes-de-terre/legumes/haricots-fins-surgeles/p/4786997?context=search,"<a href=""https://www.flaticon.com/free-icons/green-beans"" title=""green beans icons"">Green beans icons created by Culmbio - Flaticon</a>",haricot,haricot_coop,,Haricots fins surgelés,Coop Qualité & Prix,1kg,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.2
46,Migros,Fruits & légumes,https://www.migros.ch/fr/product/mo/219888,"<a href=""https://www.flaticon.com/free-icons/eggplant"" title=""eggplant icons"">Eggplant icons created by Icongeek26 - Flaticon</a>",aubergine,aubergine_migros,,Aubergines,Migros,1kg,4.8,4.8,4.8,4.8,5.15,5.15,5.15,5.15,5.15,5.15,5.15
47,Migros,Fruits & légumes,https://www.migros.ch/fr/product/264500313200,"<a href=""https://www.flaticon.com/free-icons/avocado"" title=""avocado icons"">Avocado icons created by justicon - Flaticon</a>",avocat,avocat_migros,,Avocat,Migros,1 pièce,1.55,1.55,1.55,3,1.55,1.55,1.55,1.55,1.55,1.55,1.2
48,Migros,Viandes et poissons,https://www.migros.ch/fr/product/243120704000,"<a href=""https://www.flaticon.com/free-icons/turkey"" title=""turkey icons"">Turkey icons created by Freepik - Flaticon</a>",dinde,dinde_migros,,Escalopes de dinde,Don Pollo,1kg,,17,17,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
49,Migros,Conserves et alimentation,https://www.migros.ch/fr/product/104240600000,"<a href=""https://www.flaticon.com/free-icons/snack"" title=""snack icons"">Snack icons created by monkik - Flaticon</a>",barre_cereale,barre_cereale_migros,Barres de céréales,Barres de Céréales Pomme-chocolat,Farmer Soft Choc,288g,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
50,Migros,Fruits & légumes,https://www.migros.ch/fr/product/274450002300,"<a href=""https://www.flaticon.com/free-icons/potato"" title=""potato icons"">Potato icons created by Freepik - Flaticon</a>",patate,patate_migros,,Pommes de terre farineuses,Fresca,1kg,1.68,1.76,2.16,1.84,1.76,1.58,1.44,1.44,1.6,1.7,1.5
51,Migros,Fruits & légumes,https://www.migros.ch/fr/product/273800502400,"<a href=""https://www.flaticon.com/free-icons/green-beans"" title=""green beans icons"">Green beans icons created by Culmbio - Flaticon</a>",haricot,haricot_migros,,Haricots verts,Migros,1kg,5.5,5.5,5.5,8.6,8.6,8.6,8.4,8.4,8.4,6.7,8.4
52,Migros,Viandes et poissons,https://www.migros.ch/fr/product/230110600910,"<a href=""https://www.flaticon.com/free-icons/sausage"" title=""sausage icons"">Sausage icons created by Freepik - Flaticon</a>",saucisse,saucisse_migros,Saucisse à rôtir,Saucisse à rôtir de veau,IP Suisse,1kg,17.14,17.14,17.14,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68
53,Migros,Fruits & légumes,https://www.migros.ch/fr/product/271400708400,"<a href=""https://www.flaticon.com/free-icons/tomato"" title=""tomato icons"">Tomato icons created by Icongeek26 - Flaticon</a>",tomate,tomate_migros,,Tomates,M-Budget,1kg,1.9,2.7,2.7,3.2,3,3,3,3,3,3,
54,Migros,Viandes et poissons,https://www.migros.ch/fr/product/251200300000,"<a href=""https://www.flaticon.com/free-icons/salmon"" title=""salmon icons"">Salmon icons created by surang - Flaticon</a>",saumon,saumon_migros,Filet de saumon,Filet de saumon sans peau,M-Classic,500g,24.75,24.75,23.5,23.5,23.5,23.5,23.5,23.5,23.5,28.5,23.5
55,Migros,Conserves et alimentation,https://www.migros.ch/fr/product/111273500000,"<a href=""https://www.flaticon.com/free-icons/toast"" title=""toast icons"">Toast icons created by Freepik - Flaticon</a>",toast,toast_migros,Pain toast,IP Suisse Pain clair de froment Toast & Sandwich,M-Classic,620g,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
56,Migros,Conserves et alimentation,https://www.migros.ch/fr/product/104474100000,"<a href=""https://www.flaticon.com/free-icons/semolina"" title=""semolina icons"">Semolina icons created by Freepik - Flaticon</a>",couscous,couscous_migros,Couscous,Semoule de blé dur Couscous,M-Classic,1kg,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
57,Migros,Viandes et poissons,https://www.migros.ch/fr/product/mo/3850321,"<a href=""https://www.flaticon.com/free-icons/chicken"" title=""chicken icons"">Chicken icons created by Freepik - Flaticon</a>",poulet,poulet_migros,Poulet entier,Poulet Entier,Optigal ,1kg,,9.7,9.7,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95
58,Migros,Hygiène et beauté,https://www.migros.ch/fr/product/520597600000,"<a href=""https://www.flaticon.com/free-icons/diaper"" title=""diaper icons"">Diaper icons created by Freepik - Flaticon</a>",couche,couche_migros,Couches,Couches Taille 2 - 4-8kg,Pampers,76 pièces,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95
59,Migros,Fruits & légumes,https://www.migros.ch/fr/product/mo/222484,"<a href=""https://www.flaticon.com/free-icons/salad"" title=""salad icons"">Salad icons created by Smashicons - Flaticon</a>",salade,salade_migros,Salade,Salade Batavia,Migros,1 pièce,1.7,1.7,1.7,1.7,1.95,1.95,1.95,1.95,1.95,1.95,1.95
60,Migros,Hygiène et beauté,https://www.migros.ch/fr/product/526222000000,"<a href=""https://www.flaticon.com/free-icons/toilet-paper"" title=""toilet paper icons"">Toilet paper icons created by Smashicons - Flaticon</a>",pq,pq_migros,Papier toilette,"Comfort Recycling Papier toilette 200 feuilles, 3 plis",Soft,12 rouleaux,6.3,6.3,7,7,7,7,7,7,7,7,7
61,Migros,Viandes et poissons,https://www.migros.ch/fr/product/220262010092,"<a href=""https://www.flaticon.com/free-icons/cow"" title=""cow icons"">Cow icons created by Freepik - Flaticon</a>",boeuf,boeuf_migros,,Filet de bœuf ,Migros selection,180-220g,21,21.8,21.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8
